Date,Workout Name,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2019-02-14 07:33:40,"Phraks Wed","Bent Over Row (Barbell)",1,6.80388555,5,0,0,"","",
2019-02-14 07:33:40,"Phraks Wed","Bent Over Row (Barbell)",2,6.80388555,5,0,0,,,
2019-02-14 07:33:40,"Phraks Wed","Bent Over Row (Barbell)",3,6.80388555,5,0,0,,,
2019-02-14 07:33:40,"Phraks Wed","Bench Press (Dumbbell)",1,15.0,5,0,0,"",,
2019-02-14 07:33:40,"Phraks Wed","Bench Press (Dumbbell)",2,15.0,5,0,0,,,
2019-02-14 07:33:40,"Phraks Wed","Bench Press (Dumbbell)",3,15.0,5,0,0,,,
2019-02-14 07:33:40,"Phraks Wed","Deadlift (Dumbbell)",1,11.33980925,5,0,0,"",,
2019-02-14 07:33:40,"Phraks Wed","Deadlift (Dumbbell)",2,11.33980925,5,0,0,,,
2019-02-14 07:33:40,"Phraks Wed","Deadlift (Dumbbell)",3,11.33980925,5,0,0,,,
